DEV_EUI,name
A84041025F5C1F90,temp1
A8404180D65C1F8D,temp2
A8404179255C1F8F,temp3
A8404183DD5C377E,temp4
A84041737B5C3779,temp5
A8404100865C3778,temp6
A8404143C0591E67,u2
A84041A3BC591E5F,u3
A8404189065C3795,u4
A84041C0165C378F,u5
A84041A80E5C3786,u6
A8404171995C3787,u7
A8404101585C3792,u8
A84041A22A5C3794,u9
A84041C92F5C378B,u10
A84041DCF1886B36,u11
A840414B61886B37,u12
A840418A545C3784,u13
A84041E5CC5C3797,u14
A8404181B75C3799,u15
A8404106BC5C379A,u16
A8404108185C3790,u17
A84041064C5C378D,u18
A84041C68F5C3796,u19
A84041AEB75C3798,u20
A84041E2895C3791,u21
A8404134985C3793,u22
A8404150895A93C5,th3
A84041D6AD5C2213,th4
A8404186B85C220E,th5
A8404146F25C3774,th6
A84041ABD25C221A,th7
A84041F3505C376B,th8
A84041DCA75C2219,th9
A84041AAFB5C3765,th10
A84041283C5C220D,th11
A840411C4F5C2211,th12
A8404151645C376A,th13
A840418A9D5C2212,th14
A84041C7005C2214,th15
A84041F7985C2210,th16
A840417E635C2216,th17
A8404180D35C2208,th18
A8404120EF5C220C,th19
A840411E755C220A,th20
A840419DD45C220B,th21
A8404102DB5C2217,th22
A84041B9E15A8186,lws2
